time/episodes,time/total timesteps,time/fps,rollout/success rate,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
131,11456,5,0.17,2109,86.83,-3668.33339063,23031.67333984375,0.001,824.6960815429687,11340
132,11556,5,0.17,2124,86.83,-3652.3816481799995,31988.563842773438,0.001,808.7087158203125,11440
133,11656,5,0.17,2144,86.83,-3633.8399795599994,21301.9328125,0.001,818.090234375,11540
134,11756,5,0.17,2162,86.83,-3689.1388316899997,16029.987451171875,0.001,806.6719787597656,11640
135,11856,5,0.17,2181,86.83,-3659.71303719,21409.388891601564,0.001,812.4154418945312,11740
136,11956,5,0.17,2202,86.83,-3570.17623258,16021.506884765626,0.001,836.0071228027343,11840
137,12056,5,0.17,2219,86.83,-3527.7705678599996,17549.29997558594,0.001,850.9366516113281,11940
138,12084,5,0.18,2226,86.11,-3435.6306110100004,15023.154736328124,0.001,823.5189086914063,11980
139,12184,5,0.18,2253,86.11,-3380.7994551799998,17209.916235351564,0.001,849.8293151855469,12080
140,12262,5,0.19,2269,85.89,-3288.8978554299997,20408.558520507813,0.001,860.9050231933594,12160
141,12362,5,0.19,2292,85.89,-3293.0963872400002,17623.70750732422,0.001,832.7572204589844,12260
142,12462,5,0.19,2322,85.89,-3208.1223326500003,19676.362182617188,0.001,863.4362243652344,12360
143,12562,5,0.19,2343,85.89,-3190.48764491,15969.950390625,0.001,856.7772521972656,12460
144,12662,5,0.19,2368,85.89,-3209.3686337600006,19937.550415039062,0.001,840.2123840332031,12560
145,12762,5,0.19,2398,85.89,-3266.3641818900005,18989.830981445313,0.001,831.1757202148438,12660
146,12862,5,0.19,2418,85.89,-3198.42570037,27075.92109375,0.001,860.3573303222656,12760
147,12962,5,0.19,2435,85.89,-3188.9388067500004,26572.71437988281,0.001,844.4759582519531,12860
148,13062,5,0.19,2458,85.89,-3180.27851048,16162.051538085938,0.001,876.5123046875,12960
149,13136,5,0.2,2472,85.63,-3140.1446739499993,19091.583569335937,0.001,857.5901123046875,13020
150,13166,5,0.21,2479,84.93,-3135.0370618299994,16742.66328125,0.001,863.6916931152343,13060
151,13266,5,0.21,2506,84.93,-3107.05516192,25645.39455566406,0.001,849.6814697265625,13160
152,13366,5,0.21,2532,84.93,-3089.49977594,29484.188842773438,0.001,864.1390014648438,13260
153,13370,5,0.22,2534,83.97,-3044.16937141,,,,
154,13470,5,0.22,2555,83.97,-2943.7428777399996,19993.830224609374,0.001,883.5322875976562,13360
155,13570,5,0.22,2572,83.97,-2866.9255957399996,25388.488842773437,0.001,857.0341613769531,13460
156,13670,5,0.22,2591,83.97,-2798.2154774299997,24209.646362304688,0.001,875.9303771972657,13560
157,13770,5,0.21,2615,84.08,-2729.4821280300007,28803.997705078124,0.001,879.5844970703125,13660
158,13864,5,0.22,2634,84.02,-2699.7784202800003,21747.450341796874,0.001,869.7339111328125,13760
159,13964,5,0.22,2654,84.02,-2644.0368637400006,21565.03828125,0.001,881.1709533691406,13860
160,14064,5,0.22,2672,84.02,-2630.0101794000007,19027.416748046875,0.001,891.679150390625,13960
161,14164,5,0.22,2692,84.02,-2632.2896244800004,21063.19111328125,0.001,889.9280883789063,14060
162,14175,5,0.23,2695,83.13,-2549.64976901,,,,
163,14188,5,0.24,2698,82.26,-2536.61700985,15135.858129882812,0.001,890.7309814453125,14080
164,14288,5,0.24,2719,82.26,-2535.2386299100003,25752.961669921875,0.001,883.2248474121094,14180
165,14357,5,0.25,2738,81.95,-2535.06644853,22446.55693359375,0.001,889.063720703125,14240
166,14457,5,0.24,2759,82.48,-2590.5293149699996,17006.08349609375,0.001,921.1526184082031,14340
167,14557,5,0.24,2782,82.48,-2502.81426323,26297.888110351563,0.001,901.4495483398438,14440
168,14657,5,0.24,2803,82.48,-2448.29148703,21488.79558105469,0.001,907.1791625976563,14540
169,14757,5,0.23,2818,83.47,-2461.78374669,20219.522338867188,0.001,886.0999877929687,14640
170,14857,5,0.23,2834,83.47,-2479.9226201399997,19756.300634765626,0.001,899.1419311523438,14740
171,14957,5,0.22,2853,84.46,-2502.9987014499998,23473.483251953126,0.001,923.4932373046875,14840
172,15057,5,0.22,2883,84.46,-2465.8504599899998,25725.43996582031,0.001,893.7444274902343,14940
173,15157,5,0.22,2910,84.46,-2471.7575462199998,25460.09296875,0.001,891.9150512695312,15040
174,15257,5,0.22,2932,84.46,-2475.1692410799997,16610.59099121094,0.001,902.4679077148437,15140
175,15357,5,0.22,2952,84.46,-2476.0069978899996,17593.186083984376,0.001,926.7380432128906,15240
176,15457,5,0.22,2969,84.46,-2487.3704421999996,21447.9732421875,0.001,921.8392639160156,15340
177,15557,5,0.21,2998,85.3,-2512.06080944,23148.479638671874,0.001,933.2670104980468,15440
178,15657,5,0.21,3018,85.3,-2494.7428844,21622.90754394531,0.001,926.0813598632812,15540
179,15757,5,0.2,3035,86.28,-2518.85852992,22339.4318359375,0.001,936.7102111816406,15640
180,15857,5,0.2,3056,86.28,-2460.9788117499997,26431.713818359374,0.001,931.9842407226563,15740
181,15957,5,0.2,3086,86.28,-2470.54629764,21236.65021972656,0.001,936.7185485839843,15840
182,16057,5,0.19,3105,87.22,-2479.8263828900003,23041.896362304688,0.001,940.5567626953125,15940
183,16067,5,0.19,3108,86.74,-2427.3158577000004,19734.64541015625,0.001,944.4940856933594,15960
184,16167,5,0.19,3133,86.74,-2381.4181130100005,18400.730322265626,0.001,964.6139465332031,16060
185,16267,5,0.19,3155,86.74,-2309.7154858800004,24310.92448730469,0.001,942.7413696289062,16160
186,16367,5,0.19,3175,86.74,-2300.0980582500006,28018.6798828125,0.001,934.0095947265625,16260
187,16467,5,0.19,3203,86.74,-2298.5135119900006,21757.7818359375,0.001,951.3043823242188,16360
188,16567,5,0.19,3220,86.74,-2246.3810317800003,16272.402197265625,0.001,952.4505493164063,16460
189,16667,5,0.19,3238,86.74,-2245.0272301500004,22781.46826171875,0.001,950.8300109863281,16560
190,16767,5,0.19,3254,86.74,-2244.2868870100006,18980.648022460937,0.001,962.3702392578125,16660
191,16768,5,0.2,3255,85.75,-2142.6236864200005,,,,
192,16868,5,0.19,3285,86.46,-2151.4497735000004,24175.531591796876,0.001,963.76650390625,16760
193,16968,5,0.19,3304,86.46,-2143.85259837,22007.059326171875,0.001,936.4610778808594,16860
194,17068,5,0.19,3325,86.46,-2128.68419864,23623.92431640625,0.001,951.217041015625,16960
195,17070,5,0.2,3326,85.48,-2114.28474856,,,,
196,17170,5,0.2,3345,85.48,-2049.5905827,25440.12648925781,0.001,974.9256896972656,17060
197,17270,5,0.19,3362,86.44,-2059.6256617000004,20733.192138671875,0.001,980.0341857910156,17160
198,17370,5,0.18,3386,87.41,-2069.64130316,19937.024169921875,0.001,969.3741455078125,17260
199,17470,5,0.18,3410,87.41,-2107.44317804,26480.808374023436,0.001,981.7980041503906,17360
200,17570,5,0.18,3427,87.41,-2116.53638562,24308.203344726564,0.001,992.8836242675782,17460
201,17670,5,0.18,3447,87.41,-2116.88217473,18257.809326171875,0.001,977.9116027832031,17560
202,17770,5,0.18,3467,87.41,-2110.95746127,31306.634204101563,0.001,990.5271545410156,17660
203,17870,5,0.18,3491,87.41,-2089.32316456,25509.705419921876,0.001,999.0431274414062,17760
204,17903,5,0.19,3498,86.74,-2090.11613987,27856.782568359376,0.001,991.53212890625,17800
205,17943,5,0.2,3508,86.14,-2096.81806617,22992.0337890625,0.001,999.4483764648437,17840
206,18043,5,0.2,3530,86.14,-2004.1470983400004,27490.285205078126,0.001,987.3327026367188,17940
207,18143,5,0.19,3551,86.75,-2010.5777783100004,31132.117626953124,0.001,1001.518896484375,18040
208,18243,5,0.19,3581,86.75,-2027.2917391900005,24464.897021484376,0.001,1011.9674377441406,18140
209,18343,5,0.18,3599,87.37,-2122.362024100001,23047.44973144531,0.001,1011.328662109375,18240
210,18443,5,0.18,3614,87.37,-2026.7963206700003,23177.904028320314,0.001,1018.6913513183594,18340
211,18505,5,0.18,3626,87.91,-2026.1518042300004,28606.904833984376,0.001,995.7290222167969,18400
212,18605,5,0.17,3652,88.74,-2040.7117487100002,24640.963427734376,0.001,1038.613525390625,18500
213,18692,5,0.17,3672,89.58,-2045.2749264800002,27466.83974609375,0.001,1049.0039367675781,18580
214,18792,5,0.17,3686,89.58,-1950.2073534600004,26090.925830078126,0.001,1015.1244506835938,18680
215,18892,5,0.17,3706,89.58,-1888.02590473,22533.22995605469,0.001,1031.8070556640625,18780
216,18992,5,0.17,3731,89.58,-1895.62022216,27037.486596679686,0.001,1028.9635620117188,18880
217,19056,5,0.18,3746,89.22,-1884.92043226,31309.38935546875,0.001,1015.3281616210937,18940
218,19156,5,0.18,3762,89.22,-1899.9460553300003,34454.50327148438,0.001,1023.2190734863282,19040
219,19256,5,0.18,3788,89.22,-1906.4432005400001,34770.89697265625,0.001,1033.8225524902343,19140
220,19356,5,0.18,3812,89.22,-1913.6022731799999,19815.218408203124,0.001,1039.5472106933594,19240
221,19456,5,0.18,3835,89.22,-1897.39449624,22581.040649414062,0.001,1051.7334106445312,19340
222,19556,5,0.17,3856,90.0,-1904.4071478600004,29501.945043945314,0.001,1033.6695434570313,19440
223,19656,5,0.17,3873,90.0,-1913.1301198400001,28524.198022460936,0.001,1036.9930847167968,19540
224,19756,5,0.17,3894,90.0,-1912.3157086200001,38590.01508789063,0.001,1034.7995178222657,19640
225,19856,5,0.17,3908,90.0,-1906.41582727,31558.71162109375,0.001,1032.9365478515624,19740
226,19956,5,0.17,3925,90.0,-1903.7033314199996,37205.79267578125,0.001,1051.8221862792968,19840
227,20056,5,0.17,3945,90.0,-1867.91765963,31537.253198242186,0.001,1041.8120727539062,19940
228,20156,5,0.17,3963,90.0,-1868.3406086699997,26294.46025390625,0.001,1058.2685791015624,20040
229,20168,5,0.18,3967,89.12,-1848.2181981299996,32180.4794921875,0.001,1042.3720092773438,20060
230,20268,5,0.18,3985,89.12,-1845.7694628499999,34005.401611328125,0.001,1041.6874633789062,20160
231,20280,5,0.19,3988,88.24,-1840.9173614699998,,,,
232,20380,5,0.19,4004,88.24,-1842.5743843200003,27384.80810546875,0.001,1050.3623657226562,20260
233,20400,5,0.2,4009,87.44,-1821.4190697800002,44756.21635742187,0.001,1049.0750366210937,20280
234,20414,5,0.21,4012,86.58,-1739.72946536,29467.334228515625,0.001,1084.337646484375,20300
235,20514,5,0.21,4033,86.58,-1745.5999786399998,35221.10705566406,0.001,1080.9267150878907,20400
236,20614,5,0.21,4049,86.58,-1740.28038603,28220.64792480469,0.001,1087.4713256835937,20500
237,20714,5,0.21,4066,86.58,-1693.5201195399998,29980.058056640624,0.001,1060.8021545410156,20600
238,20814,5,0.2,4078,87.3,-1702.05178705,29094.26320800781,0.001,1074.8022094726562,20700
239,20857,5,0.21,4087,86.73,-1683.2315731100002,38609.180859375,0.001,1079.5596069335938,20740
240,20957,5,0.2,4105,86.95,-1685.64154768,29770.54543457031,0.001,1066.319189453125,20840
241,21057,5,0.2,4126,86.95,-1687.4823892900001,30118.810546875,0.001,1082.404345703125,20940
242,21157,5,0.2,4141,86.95,-1675.23572828,33881.37790527344,0.001,1067.116796875,21040
243,21257,5,0.2,4164,86.95,-1679.54949589,37852.743896484375,0.001,1075.6826965332032,21140
244,21260,5,0.21,4165,85.98,-1644.0816895099997,,,,
245,21287,5,0.22,4172,85.25,-1573.9845799199995,29226.868359375,0.001,1084.1484130859376,21180
246,21387,5,0.22,4192,85.25,-1557.1275969099997,48033.064453125,0.001,1093.14560546875,21280
247,21487,5,0.22,4217,85.25,-1561.4076339699998,28330.83251953125,0.001,1087.8329711914062,21380
248,21564,5,0.23,4231,85.02,-1556.35386528,36814.66049804688,0.001,1087.2738647460938,21460
249,21664,5,0.22,4257,85.28,-1540.3049902399996,37442.339453125,0.001,1104.3603881835938,21560
250,21677,5,0.22,4260,85.11,-1537.21030023,,,,
251,21777,5,0.22,4276,85.11,-1575.4282109399999,25599.97360839844,0.001,1088.400146484375,21660
252,21877,5,0.22,4295,85.11,-1573.2858740299998,37648.3765625,0.001,1105.6917846679687,21760
253,21885,5,0.22,4298,85.15,-1572.4299007099999,37017.80317382813,0.001,1084.3460510253906,21780
254,21985,5,0.22,4327,85.15,-1579.28757047,35166.75961914063,0.001,1092.9491455078125,21880
255,22085,5,0.22,4345,85.15,-1580.95730326,31928.485961914062,0.001,1099.7139892578125,21980
256,22185,5,0.22,4365,85.15,-1583.7190829700003,37301.722875976564,0.001,1083.6967651367188,22080
257,22223,5,0.23,4376,84.53,-1600.0827664800004,35470.15087890625,0.001,1101.3782836914063,22120
258,22323,5,0.22,4392,84.59,-1604.8168665000005,30140.721118164063,0.001,1131.8837524414062,22220
259,22423,5,0.22,4410,84.59,-1608.2491124700005,19176.394384765626,0.001,1132.6826904296875,22320
260,22523,5,0.22,4426,84.59,-1667.5755920000001,24687.885546875,0.001,1140.8871826171876,22420
261,22623,5,0.22,4446,84.59,-1662.0233539299998,36801.14291992188,0.001,1133.49794921875,22520
262,22635,5,0.22,4450,84.6,-1661.98308086,,,,
263,22735,5,0.21,4471,85.47,-1672.2702,39131.28256835938,0.001,1127.481787109375,22620
264,22835,5,0.21,4484,85.47,-1662.0362349699997,33855.08547363281,0.001,1131.7327514648437,22720
265,22935,5,0.2,4501,85.78,-1622.9197880999998,35492.72412109375,0.001,1120.2691040039062,22820
266,23035,5,0.2,4521,85.78,-1572.6832772899998,38856.69326171875,0.001,1152.1846435546875,22920
267,23135,5,0.2,4543,85.78,-1574.5335878800001,28035.833203125,0.001,1120.2829956054688,23020
