rollout/success rate,train/n_updates,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/total timesteps,rollout/ep_rew_mean,train/actor_loss,train/learning_rate,time/fps,train/critic_loss
0.15,216140,2333,5753,91.73,216265,-455.21445047000003,1266.2405029296874,0.001,92,34786.97939453125
0.16,216200,2343,5754,91.44,216336,-451.74977898000014,1264.9257080078125,0.001,92,45316.56865234375
0.15,216300,2358,5755,91.68,216436,-455.53374379,1270.2572509765625,0.001,91,36664.179931640625
0.15,216400,2370,5756,91.68,216536,-449.15338915,1272.8077880859375,0.001,91,34767.01655273438
0.15,216500,2385,5757,91.68,216636,-449.4998882,1263.0372802734375,0.001,90,43861.63471679688
0.15,216600,2398,5758,91.68,216736,-447.64996440000004,1284.61982421875,0.001,90,38238.17182617188
0.15,216700,2411,5759,91.68,216836,-445.35023389,1289.9789672851562,0.001,89,34684.43549804688
0.15,216800,2425,5760,91.68,216936,-443.98206102000006,1309.8932983398438,0.001,89,41110.94790039062
0.16,216840,2431,5761,91.04,216972,-438.46194117,1282.4424560546875,0.001,89,39056.01552734375
0.16,216940,2443,5762,91.04,217072,-445.4605019,1281.5488037109376,0.001,88,44119.24736328125
0.16,217040,2456,5763,91.04,217172,-446.3410333400001,1290.0229858398438,0.001,88,47196.2201171875
0.16,217140,2470,5764,91.04,217272,-449.51495062000004,1304.2782470703125,0.001,87,51822.46875
0.16,217240,2486,5765,91.04,217372,-456.50601130999996,1332.9574462890625,0.001,87,29559.04892578125
0.16,217340,2498,5766,91.04,217472,-454.15794687,1291.2474731445313,0.001,87,40529.98051757812
0.15,217440,2512,5767,91.11,217572,-460.3264075000001,1307.3706665039062,0.001,86,36881.77934570312
0.15,217540,2525,5768,91.11,217672,-456.7435550100001,1322.4358520507812,0.001,86,36203.124609375
0.15,217640,2539,5769,91.11,217772,-453.64266665,1307.6546508789063,0.001,85,46689.1228515625
0.14,217740,2554,5770,92.06,217872,-460.40254313000014,1322.38486328125,0.001,85,40190.24028320312
0.14,217840,2568,5771,92.06,217972,-464.4126177,1317.0512084960938,0.001,84,47385.64848632812
0.13,217940,2581,5772,92.46,218072,-470.57203336000003,1341.5193237304688,0.001,84,43474.986328125
0.13,218040,2594,5773,92.46,218172,-468.49284564000004,1332.4658081054688,0.001,84,38227.3310546875
0.14,218140,2607,5774,92.36,218262,-467.42555384,1339.6912231445312,0.001,83,45657.88803710938
0.14,218240,2621,5775,92.36,218362,-465.6953924500001,1355.2151123046874,0.001,83,41155.50634765625
0.14,218340,2634,5776,92.36,218462,-470.5663401200001,1361.6567504882812,0.001,82,37600.99282226562
0.14,218440,2649,5777,92.36,218562,-473.06526925000003,1364.0320678710937,0.001,82,50445.1396484375
0.13,218540,2662,5778,92.9,218662,-477.17460678000003,1380.3897216796875,0.001,82,49887.64931640625
0.13,218640,2674,5779,92.9,218762,-477.0239183600001,1379.9596435546875,0.001,81,44328.38676757812
0.13,218740,2688,5780,92.9,218862,-481.9711296500001,1392.1774536132812,0.001,81,32692.817236328126
0.13,218840,2702,5781,92.9,218962,-486.2628942399999,1395.8474853515625,0.001,81,35107.920654296875
0.13,218940,2713,5782,92.9,219062,-488.09098716,1399.7690185546876,0.001,80,48482.39912109375
0.12,219040,2726,5783,93.59,219162,-492.40097880999997,1386.7279052734375,0.001,80,43230.89106445313
0.12,219140,2739,5784,93.59,219262,-490.8486849099999,1431.8001098632812,0.001,80,26155.116943359375
0.11,219240,2755,5785,94.08,219362,-492.33773614999996,1381.4144653320313,0.001,79,51149.23081054688
0.11,219340,2767,5786,94.08,219462,-494.34375444,1405.535546875,0.001,79,55056.254296875
0.1,219440,2781,5787,94.8,219562,-497.5833267399999,1414.4662475585938,0.001,78,44903.39638671875
0.11,,2782,5788,93.83,219565,-490.54240980000003,,,78,
0.11,219540,2794,5789,93.83,219665,-496.61779315,1416.1485595703125,0.001,78,60841.8623046875
0.11,219640,2807,5790,93.83,219765,-500.72326578,1418.1927734375,0.001,78,39657.55415039063
0.11,,2810,5791,93.63,219779,-500.43393218999995,,,78,
0.11,219740,2824,5792,93.63,219879,-498.9360077099999,1432.0290649414062,0.001,77,49866.8681640625
0.11,219840,2837,5793,93.63,219979,-497.69707365999994,1436.64091796875,0.001,77,38582.33491210938
0.11,219940,2850,5794,93.63,220079,-500.25693951999995,1439.4926513671876,0.001,77,56621.56108398437
0.11,220040,2865,5795,93.63,220179,-496.26683813999995,1440.789990234375,0.001,76,49744.85771484375
0.12,220080,2871,5796,92.99,220215,-490.18274406999996,1435.2244873046875,0.001,76,49382.43120117187
0.12,220180,2884,5797,92.99,220315,-487.70307016,1440.6432861328126,0.001,76,46774.6783203125
0.12,220280,2896,5798,92.99,220415,-489.4763658499999,1455.4948608398438,0.001,76,59848.784765625
