rollout/success rate,time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/actor_loss,train/critic_loss,train/learning_rate,train/n_updates
0.33,811573,9224,77.81,-276.28322350999997,429,1890,763.1199035644531,12302.663583374024,0.001,811460
0.33,811673,9225,77.81,-277.74551478999996,424,1911,772.7352233886719,8702.042095947265,0.001,811560
0.34,811685,9226,76.93,-274.24041030999996,424,1914,768.7720458984375,12365.13250427246,0.001,811580
0.33,811785,9227,77.86,-282.01066820999995,420,1932,765.2049621582031,13705.973304748535,0.001,811680
0.34,811792,9228,76.93,-274.87031241,419,1934,,,,
0.35,811811,9229,76.12,-272.400136,418,1938,766.5976196289063,13677.18067626953,0.001,811700
0.36,811828,9230,75.29,-266.57647843,417,1943,767.6556396484375,11295.657501220703,0.001,811720
0.36,811928,9231,75.29,-267.30277545999996,413,1962,757.8523742675782,11175.01675720215,0.001,811820
0.36,812028,9232,75.29,-267.64271605,409,1981,759.5172729492188,9655.78247833252,0.001,811920
0.36,812038,9233,75.26,-267.05678899000003,409,1983,,,,
0.36,812138,9234,75.26,-268.52247319,405,2001,755.0039978027344,12883.165995788575,0.001,812020
0.36,812238,9235,75.26,-268.88285107,403,2015,754.4320434570312,13825.494653320313,0.001,812120
0.37,812311,9236,74.99,-264.28892623999997,400,2028,769.5881958007812,7768.906829833984,0.001,812200
0.37,812411,9237,74.99,-269.12973313,396,2049,752.5026062011718,8934.189135742188,0.001,812300
0.36,812511,9238,75.86,-276.01640569999995,393,2065,760.3992919921875,10078.612481689453,0.001,812400
0.36,812611,9239,75.86,-280.85444603999997,390,2083,765.2713073730469,9636.857635498047,0.001,812500
0.36,812672,9240,76.29,-282.3114984099999,387,2097,759.8869812011719,8161.579241943359,0.001,812560
0.35,812772,9241,76.98,-288.05541113,384,2113,759.478759765625,12718.972863769532,0.001,812660
0.35,812872,9242,76.98,-286.5078771699999,382,2126,763.3323059082031,13141.939346313477,0.001,812760
0.35,812972,9243,76.98,-286.03554439,379,2140,759.4495483398438,10500.479327392579,0.001,812860
0.36,812978,9244,76.04,-283.92065094,379,2142,,,,
0.37,813023,9245,75.49,-281.0504475,377,2152,764.4369506835938,8645.960235595703,0.001,812920
0.37,813123,9246,75.49,-282.91919412,374,2169,759.820751953125,11598.053994750977,0.001,813020
0.37,813223,9247,75.49,-285.16658481999997,372,2183,765.790869140625,7578.547821044922,0.001,813120
0.37,813323,9248,75.49,-284.40108518,369,2201,768.2346313476562,8669.371572875976,0.001,813220
0.36,813423,9249,76.35,-284.88659660999997,366,2218,761.631591796875,8693.252688598634,0.001,813320
0.36,813523,9250,76.35,-281.17085024,364,2231,762.1507019042969,13269.142782592773,0.001,813420
0.37,813537,9251,75.49,-278.51419213,364,2234,,,,
0.37,813637,9252,75.49,-278.60545186,360,2254,765.1027893066406,7800.097378540039,0.001,813520
0.37,813737,9253,75.49,-280.03308762,358,2267,765.7973937988281,10054.678204345702,0.001,813620
0.37,813819,9254,76.26,-281.03684666000004,356,2281,766.7963500976563,12315.269738769532,0.001,813700
0.37,813919,9255,76.26,-280.18839693,354,2293,757.7075988769532,10605.600144958496,0.001,813800
0.37,814019,9256,76.26,-278.7071408,352,2308,759.121142578125,11584.976132202148,0.001,813900
0.37,814119,9257,76.26,-277.78631022,349,2329,766.1380187988282,9867.787506103516,0.001,814000
0.37,814219,9258,76.26,-277.3266958,347,2344,769.8497863769531,4242.143843078613,0.001,814100
0.37,814319,9259,76.26,-271.17090267,344,2363,767.0215454101562,7732.026194763183,0.001,814200
0.37,814419,9260,76.26,-270.61110629,342,2378,758.8523986816406,10994.532351684571,0.001,814300
0.36,814519,9261,76.95,-273.11852406,340,2392,757.1612609863281,9873.481910705566,0.001,814400
0.35,814619,9262,77.89,-275.58074436000004,336,2419,768.6941772460938,7385.154527282715,0.001,814500
0.34,814719,9263,78.25,-282.71697082000003,333,2441,758.0758178710937,7285.078135681152,0.001,814600
0.35,814792,9264,77.98,-284.11140199,331,2455,757.5463256835938,11315.810842895507,0.001,814680
0.35,814892,9265,77.98,-281.84640417,329,2473,768.1402709960937,9054.642276000977,0.001,814780
0.35,814924,9266,77.71,-281.66787908,328,2480,761.7585266113281,11813.35940246582,0.001,814820
0.35,815024,9267,77.71,-284.3521213,326,2496,763.0153076171875,12472.851770019532,0.001,814920
0.36,815039,9268,76.86,-281.09015224,326,2499,,,,
0.36,815139,9269,76.86,-282.42951006,324,2513,768.4968078613281,8758.975733947755,0.001,815020
0.36,815159,9270,76.75,-282.09451006,323,2517,765.9072326660156,7748.800079345703,0.001,815040
0.36,815259,9271,76.75,-276.17901466,322,2530,758.7026733398437,8723.606253051757,0.001,815140
0.36,815359,9272,76.75,-275.06757318,320,2543,764.1009216308594,9871.328283691406,0.001,815240
0.36,815459,9273,76.75,-272.17124082000004,318,2557,757.1775390625,10948.138656616211,0.001,815340
0.35,815559,9274,77.67,-277.00732942999997,317,2572,754.5112182617188,10967.31363220215,0.001,815440
0.35,815659,9275,77.67,-276.18335355999994,315,2588,758.9740173339844,6858.283657836914,0.001,815540
0.35,815759,9276,77.67,-274.15550693,313,2602,767.456982421875,4899.018600463867,0.001,815640
0.36,815787,9277,76.95,-270.43847466,312,2607,759.510400390625,6376.247766113282,0.001,815680
0.35,815887,9278,77.61,-273.70415592,311,2622,754.154150390625,9708.66863708496,0.001,815780
0.36,815897,9279,76.71,-267.81337292,310,2625,,,,
0.36,815997,9280,76.71,-268.34185615,309,2638,760.9692016601563,10394.519848632812,0.001,815880
0.36,816097,9281,76.71,-266.29307511,307,2651,764.765869140625,8974.003327941895,0.001,815980
0.35,816197,9282,77.22,-268.94308058,305,2669,763.6698791503907,7615.2634948730465,0.001,816080
0.34,816297,9283,77.44,-272.63001441,304,2684,757.4581481933594,8055.105792236328,0.001,816180
0.33,816397,9284,78.42,-281.54328375,302,2698,754.54404296875,6568.8705032348635,0.001,816280
0.34,816427,9285,77.72,-281.19545888,302,2703,767.2723693847656,6735.622453308106,0.001,816320
