time/fps,time/episodes,time/time_elapsed,train/actor_loss,rollout/success rate,train/n_updates,time/total timesteps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
233,4372,1756,854.0002075195313,0.19,409860,409969,12039.368643188476,0.001,-363.43745672999995,89.02
232,4373,1760,855.1257751464843,0.2,409880,409988,12554.584802246094,0.001,-359.39136923,88.21
230,4374,1780,858.8135070800781,0.2,409980,410088,5918.801684570312,0.001,-358.15198266999994,88.21
227,4375,1799,861.2419128417969,0.2,410080,410188,13462.814151000977,0.001,-360.4911451799999,88.21
227,4376,1802,,0.21,,410198,,,-357.1328740199999,87.31
224,4377,1824,864.9462280273438,0.21,410180,410298,8915.49219970703,0.001,-359.18985563,87.31
223,4378,1839,850.8635131835938,0.21,410280,410398,10753.852227783203,0.001,-361.47718688000003,87.31
221,4379,1855,856.1861938476562,0.2,410380,410498,11809.888217163087,0.001,-368.25643074,87.74
219,4380,1871,863.2315673828125,0.2,410480,410598,10060.988848876954,0.001,-369.49969239,87.74
218,4381,1876,865.7293334960938,0.21,410520,410627,8549.1853515625,0.001,-365.28505290999993,87.03
218,4382,1880,868.1213134765625,0.22,410540,410644,10108.950323486328,0.001,-361.81597739000006,86.2
216,4383,1898,857.3531311035156,0.21,410640,410744,5986.715142822266,0.001,-364.45843582000003,86.74
215,4384,1902,871.6322448730468,0.22,410660,410769,5657.612142944336,0.001,-361.8696645,85.99
214,4385,1918,866.8438049316406,0.23,410740,410857,9254.758479309083,0.001,-357.8687778100001,85.87
212,4386,1938,863.44775390625,0.24,410840,410950,9595.608358764648,0.001,-354.79530507999993,85.8
210,4387,1952,862.9336364746093,0.24,410940,411050,8932.978163146972,0.001,-353.79118198000003,85.8
208,4388,1970,868.98154296875,0.24,411040,411150,7543.113021850586,0.001,-353.53021271,85.8
207,4389,1982,862.9323608398438,0.24,411100,411211,12549.013919067384,0.001,-351.9071700999999,85.5
205,4390,2000,852.3826904296875,0.23,411200,411311,11139.961694335938,0.001,-356.2157735,85.73
203,4391,2017,847.5828247070312,0.22,411300,411411,13978.792977905274,0.001,-358.81159772,86.65
201,4392,2039,858.4874877929688,0.22,411400,411511,8842.323843383789,0.001,-364.03041781,86.65
201,4393,2041,,0.22,,411520,,,-361.07568792000006,86.06
199,4394,2065,862.1235656738281,0.22,411500,411620,17608.339166259764,0.001,-367.25979055000005,86.06
197,4395,2082,857.9379150390625,0.22,411600,411720,7675.564642333984,0.001,-368.39787753,86.06
196,4396,2097,855.0798034667969,0.22,411700,411820,8717.937213134766,0.001,-379.79214732,86.06
194,4397,2115,861.4619689941406,0.22,411800,411920,9475.827465820312,0.001,-389.49609460000005,86.06
193,4398,2131,865.314990234375,0.22,411900,412020,7083.482635498047,0.001,-391.53414142,86.06
191,4399,2149,855.4768188476562,0.22,412000,412120,6648.214059448243,0.001,-399.1140999900001,86.06
190,4400,2168,859.9903930664062,0.22,412100,412220,8843.624636840821,0.001,-395.89788745000004,86.06
188,4401,2183,854.4482055664063,0.22,412200,412320,10134.307669067382,0.001,-403.93429337000003,86.06
187,4402,2198,868.24912109375,0.22,412300,412420,8513.286975097657,0.001,-405.76850376000004,86.06
187,4403,2202,864.7867126464844,0.23,412320,412440,10368.584881591796,0.001,-402.4165957900001,85.26
186,4404,2217,869.0287780761719,0.23,412420,412540,9978.386837768554,0.001,-404.72305649000003,85.26
184,4405,2234,868.8662536621093,0.23,412520,412640,3773.603628540039,0.001,-402.20667686,85.26
183,4406,2249,872.6194152832031,0.23,412620,412740,13598.961972045898,0.001,-406.61375854,85.26
182,4407,2267,859.6442504882813,0.23,412720,412840,9811.91194152832,0.001,-407.24541772,85.26
180,4408,2281,869.6918640136719,0.22,412820,412940,7667.2254638671875,0.001,-411.06296990000004,85.6
179,4409,2296,865.2729736328125,0.22,412920,413040,10182.51531677246,0.001,-415.07935892,85.6
178,4410,2315,874.4451293945312,0.22,413020,413140,11080.367999267579,0.001,-420.17525033000004,85.6
177,4411,2328,858.9480712890625,0.22,413120,413240,10692.170465087891,0.001,-417.87522577000004,85.6
