time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,time/total timesteps,train/n_updates,rollout/success rate,time/fps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean
6206,7328.572705078125,0.001,1012514.81484375,323800,223780,0.0,52,3240,-6178.25508363,100.0
6241,7552.813525390625,0.001,712873.8296875,323900,223880,0.0,51,3241,-6245.379282889999,100.0
6271,7466.955859375,0.001,978196.6484375,324000,223980,0.0,51,3242,-6201.48140912,100.0
6294,7417.143896484375,0.001,984846.61796875,324100,224080,0.0,51,3243,-6182.845701299999,100.0
6319,7398.129150390625,0.001,1165752.503125,324200,224180,0.0,51,3244,-6226.414864529998,100.0
6345,7518.202978515625,0.001,1207978.946875,324300,224280,0.0,51,3245,-6104.80018509,100.0
6369,7413.142822265625,0.001,940817.9578125,324400,224380,0.0,50,3246,-6149.856819739999,100.0
6389,7479.314208984375,0.001,977545.804296875,324500,224480,0.0,50,3247,-6115.204401789999,100.0
6418,7504.53544921875,0.001,858480.909375,324600,224580,0.0,50,3248,-6113.582676999999,100.0
6433,7490.8287109375,0.001,1058804.72578125,324700,224680,0.0,50,3249,-6072.362939819998,100.0
6456,7360.4439453125,0.001,692543.92578125,324800,224780,0.0,50,3250,-6017.04966822,100.0
6476,7354.192041015625,0.001,824747.4921875,324900,224880,0.0,50,3251,-5965.42963762,100.0
6504,7528.9712890625,0.001,693022.6359375,325000,224980,0.0,49,3252,-5986.968981459999,100.0
6533,7462.27265625,0.001,698769.146484375,325100,225080,0.0,49,3253,-6032.446419459998,100.0
6561,7419.95205078125,0.001,889533.387890625,325200,225180,0.0,49,3254,-5968.378499899999,100.0
6585,7448.885302734375,0.001,499869.983203125,325300,225280,0.0,49,3255,-5696.343664809999,100.0
6610,7369.159814453125,0.001,709398.458203125,325400,225380,0.0,49,3256,-5632.92348015,100.0
6637,7545.217431640625,0.001,890852.706640625,325500,225480,0.0,49,3257,-5589.93366561,100.0
6658,7552.928125,0.001,734438.58671875,325600,225580,0.0,48,3258,-5594.24256062,100.0
6679,7633.87763671875,0.001,663291.434765625,325700,225680,0.0,48,3259,-5583.6069357100005,100.0
6705,7441.083154296875,0.001,907997.171875,325800,225780,0.0,48,3260,-5551.27700138,100.0
6728,7466.812158203125,0.001,659349.85,325900,225880,0.0,48,3261,-5510.618105910002,100.0
6756,7505.486279296875,0.001,895486.24609375,326000,225980,0.0,48,3262,-5524.55133711,100.0
6777,7468.396728515625,0.001,603518.36953125,326100,226080,0.0,48,3263,-5539.289060770001,100.0
6798,7451.150048828125,0.001,663038.5671875,326200,226180,0.0,47,3264,-5477.26409302,100.0
6824,7327.20927734375,0.001,1442985.558203125,326300,226280,0.0,47,3265,-5378.34706945,100.0
6841,7410.055517578125,0.001,507747.748046875,326400,226380,0.0,47,3266,-5335.987673460002,100.0
6867,7406.77587890625,0.001,1082603.77109375,326500,226480,0.0,47,3267,-5305.495029080001,100.0
6889,7489.308544921875,0.001,524864.281640625,326600,226580,0.0,47,3268,-5292.078092780001,100.0
6915,7380.017138671875,0.001,873203.8859375,326700,226680,0.0,47,3269,-5231.74351659,100.0
6943,7474.90009765625,0.001,728906.6515625,326800,226780,0.0,47,3270,-5089.763174420001,100.0
6970,7448.025830078125,0.001,830415.915625,326900,226880,0.0,46,3271,-4977.9958453,100.0
6992,7440.63642578125,0.001,607840.0328125,327000,226980,0.0,46,3272,-4965.4984353,100.0
7019,7457.187451171875,0.001,880944.61640625,327100,227080,0.0,46,3273,-4961.4442527500005,100.0
7042,7394.931396484375,0.001,1056786.28203125,327200,227180,0.0,46,3274,-5007.86795773,100.0
7065,7541.094921875,0.001,1237379.248828125,327300,227280,0.0,46,3275,-4967.14995416,100.0
7094,7444.221826171875,0.001,964359.700390625,327400,227380,0.0,46,3276,-4974.838890290001,100.0
7116,7528.967236328125,0.001,687364.96953125,327500,227480,0.0,46,3277,-4939.4142860599995,100.0
7144,7438.940771484375,0.001,674720.970703125,327600,227580,0.0,45,3278,-4944.99293793,100.0
