time/total timesteps,train/n_updates,rollout/success rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,rollout/ep_len_mean
609820,509800,0.02,310,-4287.87679878,1961,6104,686863.828125,0.001,5574.2482421875,99.2
609920,509900,0.02,306,-4283.53766777,1988,6105,489196.4703125,0.001,5631.77802734375,99.2
610020,510000,0.02,303,-4219.941891779999,2013,6106,440260.0380859375,0.001,5694.6712890625,99.2
610120,510100,0.02,300,-4163.626537499999,2030,6107,515629.436328125,0.001,5603.03623046875,99.2
610220,510200,0.02,297,-4152.8061146400005,2049,6108,797858.826953125,0.001,5572.753271484375,99.2
610320,510300,0.02,295,-4174.93385953,2063,6109,479603.299609375,0.001,5655.48935546875,99.2
610420,510400,0.02,292,-4157.50802379,2088,6110,482584.3849609375,0.001,5660.333935546875,99.2
610520,510500,0.02,289,-4197.215854039999,2107,6111,776283.9068359375,0.001,5478.193408203125,99.2
610620,510600,0.02,287,-4127.9073405300005,2126,6112,683486.113671875,0.001,5565.33876953125,99.2
610720,510700,0.02,285,-4065.01073677,2141,6113,619507.7513671875,0.001,5536.752880859375,99.2
610820,510800,0.02,282,-4007.14152696,2159,6114,433951.198046875,0.001,5624.90634765625,99.2
610920,510900,0.02,281,-3992.1791186500004,2173,6115,331971.52783203125,0.001,5656.153955078125,99.2
611020,511000,0.02,279,-4001.78446459,2186,6116,467502.389453125,0.001,5670.74755859375,99.2
611120,511100,0.02,277,-4045.86064375,2202,6117,618862.69140625,0.001,5464.30166015625,99.2
611220,511200,0.02,275,-4043.18861993,2215,6118,424318.133203125,0.001,5561.272119140625,99.2
611320,511300,0.02,273,-4079.1952359500006,2237,6119,458003.0125,0.001,5600.7630859375,99.2
611420,511400,0.02,270,-4056.9161919400008,2258,6120,418893.1607421875,0.001,5586.947216796875,99.2
611520,511500,0.02,267,-4140.10384525,2282,6121,289659.9173828125,0.001,5641.654833984375,99.2
611620,511600,0.02,265,-4147.63931812,2306,6122,518402.93515625,0.001,5641.118310546875,99.2
611720,511700,0.02,262,-4134.24523461,2329,6123,411121.6193359375,0.001,5669.14404296875,99.2
611820,511800,0.02,259,-4140.651319879999,2354,6124,550766.2515625,0.001,5622.3138671875,99.2
611920,511900,0.02,258,-4121.7609484899995,2368,6125,391176.514453125,0.001,5606.93515625,99.2
612020,512000,0.02,256,-4123.273392679999,2388,6126,693028.8697265625,0.001,5609.726318359375,99.2
612120,512100,0.02,253,-4105.85500903,2413,6127,498636.8787109375,0.001,5636.569580078125,99.2
612220,512200,0.01,251,-4175.37147683,2430,6128,410910.6365234375,0.001,5563.017431640625,99.38
612320,512300,0.01,249,-4164.07980473,2450,6129,543681.1037109375,0.001,5508.372412109375,99.38
612420,512400,0.01,247,-4172.497341050001,2471,6130,629367.379296875,0.001,5645.796044921875,99.38
612520,512500,0.01,245,-4160.1065069100005,2493,6131,441817.1125,0.001,5586.013720703125,99.38
612620,512600,0.01,243,-4158.618976330001,2511,6132,400454.469140625,0.001,5612.18212890625,99.38
612720,512700,0.01,242,-4115.60228791,2529,6133,566658.7533203125,0.001,5683.14814453125,99.38
612820,512800,0.01,240,-4092.9426532800003,2549,6134,462682.9197265625,0.001,5608.32177734375,99.38
612920,512900,0.01,238,-4075.4967368300004,2568,6135,587827.2306640625,0.001,5572.868359375,99.38
613020,513000,0.01,236,-4049.70952744,2593,6136,426833.003125,0.001,5664.368798828125,99.38
613120,513100,0.01,234,-4001.14236905,2614,6137,558955.2162109375,0.001,5611.55341796875,99.38
613220,513200,0.01,233,-3978.0009492400004,2630,6138,877460.7578125,0.001,5560.015771484375,99.38
613320,513300,0.01,231,-3922.2644670900004,2652,6139,497538.523828125,0.001,5617.2517578125,99.38
613420,513400,0.01,229,-3907.95270075,2669,6140,703633.984375,0.001,5594.906005859375,99.38
613520,513500,0.01,227,-3917.8434328099997,2695,6141,516980.33037109376,0.001,5580.715625,99.38
613620,513600,0.01,226,-3858.35107451,2711,6142,387249.3603515625,0.001,5605.34130859375,99.38
613720,513700,0.01,225,-3860.4602574299997,2725,6143,559541.2103515625,0.001,5655.89091796875,99.38
