train/learning_rate,train/critic_loss,rollout/success rate,time/episodes,train/actor_loss,train/n_updates,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total timesteps,rollout/ep_len_mean
0.001,8503.858456420898,0.25,6768,686.0657348632812,608720,-278.95027904,402,1513,608827,84.49
0.001,7185.169445800781,0.25,6769,703.8461181640625,608820,-282.31369437,398,1529,608927,84.49
0.001,7272.746252441406,0.25,6770,688.6845458984375,608920,-281.18318702,393,1549,609027,84.49
0.001,8168.664855957031,0.26,6771,697.4072692871093,608940,-275.07617498,392,1553,609048,83.7
0.001,6143.926440429687,0.26,6772,699.9792724609375,609040,-273.87793547000007,388,1567,609148,83.7
0.001,6204.055883789062,0.27,6773,701.4446350097656,609100,-271.51117624,385,1581,609209,83.31
0.001,11893.335250854492,0.27,6774,692.60380859375,609200,-275.39258949000003,381,1598,609309,83.31
0.001,11372.656686401368,0.27,6775,693.8081665039062,609300,-278.95609592000005,376,1619,609409,83.31
0.001,6182.038241577148,0.27,6776,696.1802307128906,609400,-279.28830842,371,1640,609509,83.31
,,0.27,6777,,,-279.11118475,371,1642,609520,83.28
0.001,11145.385632324218,0.27,6778,696.852392578125,609500,-286.83231785,366,1663,609620,83.28
0.001,8105.021478271485,0.27,6779,696.4258728027344,609600,-291.43676812999996,361,1687,609720,83.28
0.001,4814.88012084961,0.26,6780,705.1205871582031,609700,-294.1476609,357,1706,609820,83.88
0.001,6198.678451538086,0.25,6781,703.2102966308594,609800,-302.78504324,353,1725,609920,84.45
0.001,9444.44175415039,0.25,6782,698.1829406738282,609900,-303.43317221,350,1740,610020,84.45
0.001,10304.780889892578,0.25,6783,699.6217956542969,610000,-302.68229087,347,1757,610120,84.45
0.001,7558.49467163086,0.24,6784,690.958984375,610100,-308.53353508,342,1781,610220,84.67
0.001,11660.869522094727,0.24,6785,692.8912780761718,610200,-306.47777722,338,1802,610320,84.67
0.001,9733.521801757812,0.24,6786,695.3518188476562,610300,-309.10868839,335,1820,610420,84.67
0.001,10635.178848266602,0.23,6787,694.7962951660156,610400,-316.89296294,331,1844,610520,85.47
0.001,6302.598791503906,0.23,6788,699.6421813964844,610500,-319.95816397000004,328,1860,610620,85.47
0.001,5528.770855712891,0.23,6789,701.287890625,610600,-321.30293580000006,324,1879,610720,85.47
